Test number,Execution time (ms),Clause number,Clause size,Solution,Flips,Tries
1,0.18174698948860168,6,9,"solution found",0,1
2,0.0294329971075058,4,20,"solution found",0,1
3,0.08148299157619476,10,2,"no satisfying assignment found",10,3
4,0.17267398536205292,18,20,"solution found",3,1
5,0.22839799523353577,15,9,"solution found",2,2
6,0.023027002811431885,10,16,"solution found",0,1
7,0.08777500689029694,27,21,"solution found",0,1
8,0.16828300058841705,45,31,"solution found",0,1
9,0.05984099209308624,23,20,"solution found",0,1
10,1.3144869953393936,37,99,"solution found",0,1
11,0.35687001049518585,95,32,"solution found",0,1
12,0.14232198894023895,15,77,"solution found",0,1
13,0.360833004117012,41,10,"solution found",6,2
14,0.1453160047531128,88,7,"no satisfying assignment found",10,3
15,0.06113399565219879,81,81,"solution found",0,1
16,0.015112996101379395,29,40,"solution found",0,1
17,0.0491349995136261,22,165,"solution found",0,1
18,0.1565759927034378,137,112,"solution found",0,1
19,0.08583800494670868,51,174,"solution found",0,1
20,0.06670600175857544,49,132,"solution found",0,1
21,0.0880649983882904,115,85,"solution found",0,1
22,0.031025007367134094,38,21,"solution found",3,1
23,0.07879100739955902,32,227,"solution found",0,1
24,0.1449590027332306,88,180,"solution found",0,1
25,0.31508900225162506,153,248,"solution found",0,1
26,0.3483469933271408,170,244,"solution found",0,1
27,0.15865899622440338,238,69,"solution found",0,1
28,0.32820700109004974,275,137,"solution found",0,1
29,0.05305001139640808,91,50,"solution found",0,1
30,0.025067001581192017,6,158,"solution found",0,1
31,0.24824000895023346,207,133,"solution found",0,1
32,0.035871997475624084,1,258,"solution found",0,1
33,0.43845900893211365,157,322,"solution found",0,1
34,0.41258201003074646,243,212,"solution found",0,1
35,0.7355349957942963,281,328,"solution found",0,1
36,0.42300400137901306,224,226,"solution found",0,1
37,0.21585598587989807,104,241,"solution found",0,1
38,0.6698850095272064,358,232,"solution found",0,1
39,0.050866007804870605,94,52,"solution found",0,1
40,0.09686200320720673,19,365,"solution found",0,1
41,0.07762400805950165,70,119,"solution found",0,1
42,0.9688320010900497,317,413,"solution found",0,1
43,0.7308509945869446,288,314,"solution found",0,1
44,1.1570670008659363,355,429,"solution found",0,1
45,0.8125019967556,282,396,"solution found",0,1
46,0.12168699502944946,55,249,"solution found",0,1
47,0.20093099772930145,270,90,"solution found",0,1
48,0.5262220054864883,277,249,"solution found",0,1
49,0.9595720022916794,425,170,"solution found",0,1
50,0.1748410016298294,161,128,"solution found",0,1
51,0.12453699111938477,142,108,"solution found",0,1
52,0.14945700764656067,43,416,"solution found",0,1
53,1.6876709908246994,465,529,"solution found",0,1
54,0.7082770019769669,374,250,"solution found",0,1
55,0.6803160011768341,189,501,"solution found",0,1
56,0.06629300117492676,266,31,"solution found",0,1
57,0.27174900472164154,246,144,"solution found",0,1
58,0.6525169909000397,205,445,"solution found",0,1
59,0.5115339905023575,205,352,"solution found",0,1
60,0.36158500611782074,118,437,"solution found",0,1
61,0.6601729989051819,389,244,"solution found",0,1
62,0.41512300074100494,554,109,"solution found",0,1
63,2.3561450093984604,565,613,"solution found",0,1
64,1.112871989607811,631,253,"solution found",0,1
65,0.11864601075649261,415,38,"solution found",0,1
66,0.0730380117893219,96,108,"solution found",0,1
67,0.998102992773056,435,347,"solution found",0,1
68,0.025319010019302368,23,130,"solution found",0,1
69,0.8287620097398758,182,651,"solution found",0,1
70,2.110845997929573,452,683,"solution found",0,1
71,1.427505999803543,602,343,"solution found",0,1
72,2.840387001633644,718,569,"solution found",0,1
73,2.9802770018577576,678,646,"solution found",0,1
74,0.5221650004386902,363,197,"solution found",0,1
75,0.23797398805618286,406,82,"solution found",0,1
76,2.578919008374214,546,718,"solution found",0,1
77,0.5732000023126602,422,193,"solution found",0,1
78,0.21938200294971466,112,276,"solution found",0,1
79,1.591380998492241,373,625,"solution found",0,1
80,0.8601260036230087,269,444,"solution found",0,1
81,0.3034670054912567,199,213,"solution found",0,1
82,1.832053005695343,810,326,"solution found",0,1
83,1.9205600023269653,364,793,"solution found",0,1
84,0.6831870079040527,125,761,"solution found",0,1
85,1.1668709963560104,287,606,"solution found",0,1
86,0.965965986251831,350,407,"solution found",0,1
87,0.0973919928073883,63,216,"solution found",0,1
88,0.7911220043897629,641,165,"solution found",0,1
89,3.302615001797676,710,697,"solution found",0,1
90,0.7648179978132248,859,123,"solution found",0,1
91,1.5769070088863373,560,411,"solution found",0,1
92,1.6576030105352402,557,439,"solution found",0,1
93,1.3835919946432114,461,425,"solution found",0,1
94,2.8782249987125397,562,778,"solution found",0,1
95,1.5049950033426285,237,908,"solution found",0,1
96,0.6028819978237152,563,151,"solution found",0,1
97,0.9279680103063583,328,424,"solution found",0,1
98,1.208736002445221,337,506,"solution found",0,1
99,0.11461000144481659,23,624,"solution found",0,1
100,2.4180179983377457,642,561,"solution found",0,1
