Test number,Execution time (ms),Clause number,Clause size,Solution,Flips,Tries
1,0.17304301261901855,5,7,"solution found",0,1
2,0.025040864944458008,8,10,"solution found",0,1
3,0.02228999137878418,4,27,"solution found",0,1
4,0.09974503517150879,17,16,"solution found",1,1
5,0.09888887405395508,17,46,"solution found",0,1
6,0.09561705589294434,12,58,"solution found",0,1
7,0.09695291519165039,30,20,"solution found",0,1
8,0.07063102722167969,8,66,"solution found",0,1
9,0.3009209632873535,31,86,"solution found",0,1
10,1.2476310729980469,34,3,"no satisfying assignment found",10,3
11,0.02958202362060547,4,43,"solution found",0,1
12,0.06882405281066895,76,41,"solution found",0,1
13,0.049957990646362305,60,72,"solution found",0,1
14,0.02113795280456543,36,12,"solution found",3,1
15,0.055046796798706055,106,60,"solution found",0,1
16,0.05621600151062012,146,38,"solution found",0,1
17,0.09058403968811035,103,104,"solution found",0,1
18,0.09885191917419434,74,141,"solution found",0,1
19,0.1186530590057373,111,138,"solution found",0,1
20,0.06309390068054199,36,155,"solution found",0,1
21,0.03756093978881836,24,124,"solution found",0,1
22,0.02519702911376953,60,36,"solution found",0,1
23,0.20214605331420898,184,145,"solution found",0,1
24,0.04595303535461426,77,66,"solution found",0,1
25,0.013698101043701172,19,41,"solution found",0,1
26,0.09873795509338379,98,131,"solution found",0,1
27,0.2557060718536377,155,230,"solution found",0,1
28,0.18718290328979492,161,165,"solution found",0,1
29,0.14038491249084473,65,276,"solution found",0,1
30,0.05504584312438965,25,187,"solution found",0,1
31,0.45705413818359375,309,241,"solution found",0,1
32,0.09029197692871094,140,88,"solution found",0,1
33,0.21245503425598145,325,94,"solution found",0,1
34,0.40041112899780273,301,205,"solution found",0,1
35,0.15271306037902832,173,19,"solution found",5,1
36,0.028811931610107422,33,85,"solution found",0,1
37,0.031250953674316406,20,135,"solution found",0,1
38,0.3681769371032715,157,364,"solution found",0,1
39,0.22412109375,180,180,"solution found",0,1
40,0.28686094284057617,201,217,"solution found",0,1
41,0.08830404281616211,57,193,"solution found",0,1
42,0.34211111068725586,180,299,"solution found",0,1
43,0.33400893211364746,227,244,"solution found",0,1
44,0.18272805213928223,77,357,"solution found",0,1
45,0.2681741714477539,197,226,"solution found",0,1
46,0.9290637969970703,437,343,"solution found",0,1
47,0.9110350608825684,460,322,"solution found",0,1
48,0.960493803024292,441,409,"solution found",0,1
49,0.035067081451416016,128,40,"solution found",0,1
50,0.3248748779296875,303,183,"solution found",0,1
51,0.01555013656616211,30,53,"solution found",0,1
52,0.0789330005645752,281,40,"solution found",0,1
53,0.016002178192138672,106,16,"solution found",0,1
54,0.4272949695587158,282,250,"solution found",0,1
55,0.6629559993743896,95,537,"solution found",0,1
56,0.20881104469299316,55,491,"solution found",0,1
57,0.27867984771728516,411,110,"solution found",0,1
58,1.244724988937378,453,570,"solution found",0,1
59,0.6026260852813721,219,522,"solution found",0,1
60,0.6860380172729492,260,479,"solution found",0,1
61,0.48536109924316406,251,342,"solution found",0,1
62,1.5912680625915527,492,599,"solution found",0,1
63,0.6411740779876709,338,324,"solution found",0,1
64,0.10819005966186523,506,33,"solution found",0,1
65,0.6771848201751709,206,577,"solution found",0,1
66,0.09007501602172852,195,74,"solution found",0,1
67,1.0821900367736816,364,475,"solution found",0,1
68,0.1881248950958252,280,95,"solution found",0,1
69,0.865001916885376,377,389,"solution found",0,1
70,1.516340970993042,692,379,"solution found",0,1
71,0.21311306953430176,126,254,"solution found",0,1
72,0.11331415176391602,262,63,"solution found",0,1
73,0.36899590492248535,97,671,"solution found",0,1
74,0.1540510654449463,57,458,"solution found",0,1
75,0.12197709083557129,43,461,"solution found",0,1
76,0.4446570873260498,180,433,"solution found",0,1
77,0.10949897766113281,288,59,"solution found",0,1
78,0.6490738391876221,680,4,"no satisfying assignment found",10,3
79,0.4051229953765869,358,194,"solution found",0,1
80,0.5982820987701416,408,243,"solution found",0,1
81,1.7727141380310059,461,699,"solution found",0,1
82,2.7619597911834717,798,628,"solution found",0,1
83,0.49649810791015625,412,205,"solution found",0,1
84,1.4176859855651855,712,340,"solution found",0,1
85,0.15012693405151367,58,432,"solution found",0,1
86,0.07612490653991699,125,100,"solution found",0,1
87,1.396003007888794,339,750,"solution found",0,1
88,0.21883296966552734,118,328,"solution found",0,1
89,0.6052350997924805,316,9,"no satisfying assignment found",10,3
90,0.016585111618041992,12,178,"solution found",0,1
91,1.1134371757507324,607,353,"solution found",0,1
92,0.13441801071166992,108,206,"solution found",0,1
93,1.5774059295654297,668,390,"solution found",0,1
