Test number,Execution time (ms),Clause number,Clause size,Solution,Mutations
1,0.3630659878253937,3,4,"solution found",1
2,0.004325002431869507,5,16,"solution found",0
3,0.003255009651184082,4,20,"solution found",0
4,0.00697799026966095,26,21,"solution found",0
5,0.015283003449440002,44,35,"solution found",0
6,0.00312100350856781,1,29,"solution found",0
7,0.02034899592399597,52,47,"solution found",0
8,0.0134429931640625,48,28,"solution found",0
9,0.009098991751670837,18,32,"solution found",0
10,0.025827988982200623,59,48,"solution found",0
11,0.005299001932144165,3,89,"solution found",0
12,0.015984997153282166,45,45,"solution found",0
13,0.01910001039505005,37,66,"solution found",0
14,0.014583989977836609,16,108,"solution found",0
15,0.14339900016784668,150,139,"solution found",0
16,0.03913399577140808,52,99,"solution found",0
17,0.04686500132083893,97,64,"solution found",0
18,0.08263599872589111,102,1,"no satisfying assignment found",10
19,0.12347899377346039,115,151,"solution found",0
20,0.07466800510883331,57,187,"solution found",0
21,0.06344500184059143,206,43,"solution found",0
22,0.0656839907169342,126,2,"no satisfying assignment found",10
23,0.16351498663425446,140,155,"solution found",0
24,0.07290799915790558,90,111,"solution found",0
25,0.1319420039653778,162,114,"solution found",0
26,0.18323999643325806,124,217,"solution found",0
27,0.1155720055103302,66,255,"solution found",0
28,0.06513699889183044,107,87,"solution found",0
29,0.029607996344566345,59,68,"solution found",0
30,0.15651799738407135,107,215,"solution found",0
31,0.16408099234104156,275,84,"solution found",0
32,0.09638500213623047,118,118,"solution found",0
33,0.012189999222755432,61,23,"solution found",0
34,0.1033950001001358,145,103,"solution found",0
35,0.08497799932956696,99,124,"solution found",0
36,0.11283999681472778,210,76,"solution found",0
37,0.07506199181079865,197,25,"solution found",0
38,0.0731240063905716,32,322,"solution found",0
39,0.3477479964494705,369,134,"solution found",0
40,0.011758998036384583,2,290,"solution found",0
41,0.9101430028676987,361,386,"solution found",0
42,0.4347659945487976,303,17,"solution found",3
43,0.1423249989748001,130,154,"solution found",0
44,0.18201801180839539,66,403,"solution found",0
45,0.22829800844192505,79,426,"solution found",0
46,0.8016379922628403,391,316,"solution found",0
47,0.7176930010318756,404,262,"solution found",0
48,0.1355540007352829,411,19,"solution found",0
49,0.9391440004110336,328,446,"solution found",0
50,0.8708989918231964,346,364,"solution found",0
51,0.01706300675868988,36,58,"solution found",0
52,0.6124140024185181,475,188,"solution found",0
53,0.18919898569583893,217,127,"solution found",0
54,1.3354990035295486,387,532,"solution found",0
55,1.0216040015220642,321,484,"solution found",0
56,0.7893849909305573,319,386,"solution found",0
57,1.3730619996786118,425,500,"solution found",0
58,0.03705500066280365,30,167,"solution found",0
59,0.6260289996862411,372,222,"solution found",0
60,0.1058569997549057,80,207,"solution found",0
61,0.8810079991817474,383,373,"solution found",0
62,1.0679739862680435,287,610,"solution found",0
63,0.80935899913311,211,573,"solution found",0
64,1.4927430003881454,397,588,"solution found",0
65,0.12666800618171692,36,516,"solution found",0
66,0.24550199508666992,58,632,"solution found",0
67,1.9624469876289368,534,577,"solution found",0
68,1.155791997909546,346,521,"solution found",0
69,2.009464994072914,456,686,"solution found",0
70,1.0252059996128082,327,489,"solution found",0
71,0.12703698873519897,36,513,"solution found",0
72,0.8709959983825684,637,193,"solution found",0
73,0.006935000419616699,10,57,"solution found",0
74,0.7944760024547577,509,222,"solution found",0
75,1.6156340092420578,516,454,"solution found",0
76,0.592837005853653,351,230,"solution found",0
77,0.7299000024795532,280,403,"solution found",0
78,0.24946899712085724,141,260,"solution found",0
79,2.187399998307228,780,427,"solution found",0
80,0.3641279935836792,769,63,"solution found",0
81,0.12725099921226501,110,175,"solution found",0
82,0.38750000298023224,545,101,"solution found",0
83,0.8303010016679764,298,423,"solution found",0
84,1.8963370025157928,368,785,"solution found",0
85,1.0002990067005157,200,756,"solution found",0
86,0.2436619997024536,168,208,"solution found",0
87,3.0990110039711,616,781,"solution found",0
88,2.845000997185707,692,636,"solution found",0
89,0.6358159929513931,258,358,"solution found",0
90,0.31798699498176575,185,248,"solution found",0
91,2.6628179997205734,600,651,"solution found",0
92,0.456046000123024,438,147,"solution found",0
93,1.4308279901742935,675,315,"solution found",0
94,1.3310889899730682,445,460,"solution found",0
95,1.4377599954605103,371,581,"solution found",0
96,0.32054999470710754,204,228,"solution found",0
97,0.18682900071144104,84,320,"solution found",0
98,0.026152998208999634,93,37,"solution found",0
99,2.745649993419647,827,506,"solution found",0
100,2.2117949873209,698,489,"solution found",0
