Test number,Execution time (ms),Clause number,Clause size,Solution,Mutations
1,0.18192195892333984,3,1,"solution found",0
2,0.02279210090637207,5,8,"solution found",0
3,0.6722638607025146,23,5,"no satisfying assignment found",3
4,0.06328797340393066,26,18,"solution found",0
5,0.07435202598571777,15,33,"solution found",0
6,0.014155864715576172,8,11,"solution found",0
7,0.19608592987060547,29,54,"solution found",0
8,1.1878900527954102,69,36,"solution found",0
9,0.04392814636230469,15,23,"solution found",0
10,0.06638789176940918,61,84,"solution found",0
11,0.0361630916595459,65,39,"solution found",0
12,0.010807037353515625,1,16,"solution found",0
13,0.045948028564453125,39,116,"solution found",0
14,0.012198925018310547,2,93,"solution found",0
15,0.055097103118896484,149,37,"solution found",0
16,0.09125494956970215,96,108,"solution found",0
17,0.03909492492675781,58,69,"solution found",0
18,0.10599899291992188,66,179,"solution found",0
19,0.21413493156433105,162,171,"solution found",0
20,0.04363083839416504,187,23,"solution found",0
21,0.02331089973449707,30,67,"solution found",0
22,0.053884029388427734,78,76,"solution found",0
23,0.18103885650634766,139,169,"solution found",0
24,0.3749678134918213,161,7,"no satisfying assignment found",3
25,0.010793924331665039,21,25,"solution found",0
26,0.19870615005493164,176,143,"solution found",0
27,0.24799299240112305,189,179,"solution found",0
28,0.3597540855407715,176,266,"solution found",0
29,0.18139982223510742,193,116,"solution found",0
30,0.2636270523071289,135,227,"solution found",0
31,0.034210205078125,70,40,"solution found",0
32,0.4400599002838135,190,297,"solution found",0
33,0.30932092666625977,278,138,"solution found",0
34,0.01793813705444336,36,37,"solution found",0
35,0.17655205726623535,167,114,"solution found",0
36,0.03194403648376465,9,137,"solution found",0
37,0.31435608863830566,128,288,"solution found",0
38,0.16178393363952637,173,105,"solution found",0
39,0.17563605308532715,59,320,"solution found",0
40,0.19914913177490234,113,212,"solution found",0
41,0.3441040515899658,200,214,"solution found",0
42,0.2337338924407959,66,400,"solution found",0
43,0.16043400764465332,78,236,"solution found",0
44,0.5429339408874512,318,214,"solution found",0
45,0.38155317306518555,306,163,"solution found",0
46,0.042977094650268555,91,48,"solution found",0
47,0.7935099601745605,257,402,"solution found",0
48,0.4124870300292969,326,164,"solution found",0
49,0.25575709342956543,121,264,"solution found",0
50,0.38734912872314453,259,178,"solution found",0
51,1.0393400192260742,417,344,"solution found",0
52,1.1940109729766846,478,343,"solution found",0
53,0.5247900485992432,271,59,"solution found",0
54,1.1231880187988281,478,353,"solution found",0
55,0.06561088562011719,31,286,"solution found",0
56,0.3907608985900879,415,130,"solution found",0
57,0.7308149337768555,249,441,"solution found",0
58,0.24381685256958008,278,124,"solution found",0
59,0.9954757690429688,330,459,"solution found",0
60,0.7865509986877441,274,436,"solution found",0
61,0.22357892990112305,269,110,"solution found",0
62,0.5150160789489746,142,544,"solution found",0
63,1.9449100494384766,530,560,"solution found",0
64,0.5162780284881592,186,416,"solution found",0
65,1.9436368942260742,551,537,"solution found",0
66,2.4800968170166016,637,592,"solution found",0
67,0.5831151008605957,138,635,"solution found",0
68,1.657134771347046,395,634,"solution found",0
69,0.37412500381469727,116,480,"solution found",0
70,0.45493412017822266,176,389,"solution found",0
71,0.1925041675567627,86,323,"solution found",0
72,0.9291720390319824,658,204,"solution found",0
73,0.6344959735870361,353,263,"solution found",0
74,0.5140759944915771,212,374,"solution found",0
75,0.17395997047424316,134,193,"solution found",0
76,2.6175289154052734,740,553,"solution found",0
77,1.7634789943695068,645,424,"solution found",0
78,1.344059944152832,582,374,"solution found",0
79,0.9851090908050537,296,575,"solution found",0
80,0.1483621597290039,237,97,"solution found",0
81,0.6894278526306152,593,190,"solution found",0
82,2.5132229328155518,722,574,"solution found",0
83,1.1805779933929443,226,785,"solution found",0
84,2.3478000164031982,517,646,"solution found",0
85,1.1425809860229492,383,423,"solution found",0
86,0.019463777542114258,42,51,"solution found",0
87,0.21172618865966797,84,342,"solution found",0
88,2.6974921226501465,615,672,"solution found",0
89,1.0852811336517334,215,766,"solution found",0
90,0.2300090789794922,51,657,"solution found",0
91,2.0782110691070557,515,584,"solution found",0
92,0.017338037490844727,61,30,"solution found",0
93,0.9447290897369385,348,398,"solution found",0
94,0.14809703826904297,155,122,"solution found",0
95,1.392838954925537,246,858,"solution found",0
96,2.2769570350646973,416,853,"solution found",0
97,1.5124001502990723,524,432,"solution found",0
98,5.261054039001465,907,869,"solution found",0
99,0.5950560569763184,208,426,"solution found",0
100,0.5880792140960693,87,969,"solution found",0
101,0.9165599346160889,318,419,"solution found",0
102,0.29721713066101074,456,87,"solution found",0
103,3.32149600982666,551,915,"solution found",0
104,2.7933380603790283,434,863,"solution found",0
105,1.745398998260498,859,303,"solution found",0
106,1.0013511180877686,186,812,"solution found",0
107,2.964905023574829,498,929,"solution found",0
108,4.621615171432495,807,839,"solution found",0
109,0.6042249202728271,507,166,"solution found",0
110,1.4372599124908447,499,413,"solution found",0
111,0.0777590274810791,18,545,"solution found",0
112,0.2085738182067871,85,367,"solution found",0
113,0.2610189914703369,635,27,"solution found",0
114,2.791234016418457,551,776,"solution found",0
115,1.7990520000457764,602,454,"solution found",0
116,4.6250691413879395,644,1119,"solution found",0
117,5.010774850845337,828,859,"solution found",0
118,0.11320281028747559,80,191,"solution found",0
119,0.27968788146972656,71,547,"solution found",0
120,0.09146595001220703,356,33,"solution found",0
121,2.9628450870513916,472,866,"solution found",0
122,1.5114810466766357,482,458,"solution found",0
123,0.47307300567626953,291,238,"solution found",0
124,3.6018049716949463,509,1101,"solution found",0
125,5.2852208614349365,1049,766,"solution found",0
126,0.17957782745361328,111,235,"solution found",0
127,7.378414869308472,925,1247,"solution found",0
128,0.197983980178833,114,255,"solution found",0
129,0.6504230499267578,224,435,"solution found",0
130,6.598132133483887,1285,796,"solution found",0
131,1.5888068675994873,1169,202,"solution found",0
132,9.409553050994873,1286,1154,"solution found",0
133,4.59964394569397,791,880,"solution found",0
134,3.422945022583008,1250,402,"solution found",0
135,0.301954984664917,112,397,"solution found",0
136,0.02099895477294922,1,642,"solution found",0
137,2.506654977798462,340,1138,"solution found",0
138,3.796241044998169,449,1310,"solution found",0
139,4.255962133407593,866,770,"solution found",0
140,1.7472710609436035,1299,192,"solution found",0
141,0.48384714126586914,1221,53,"solution found",0
142,0.306210994720459,1024,40,"solution found",0
143,0.24176311492919922,31,1098,"solution found",0
144,5.13723087310791,819,974,"solution found",0
145,0.9766020774841309,1113,3,"no satisfying assignment found",3
146,1.2281510829925537,863,207,"solution found",0
147,4.3040900230407715,883,755,"solution found",0
148,1.3138091564178467,317,620,"solution found",0
149,1.3391599655151367,376,524,"solution found",0
150,4.244445085525513,660,993,"solution found",0
