Filename: ./cnf/quinn.cnf 
Expression: (X1∨X2)∧(¬X2∨¬X4)∧(X3∨X4)∧(¬X4∨¬X5)∧(X5∨¬X6)∧(X6∨¬X7)∧(X6∨X7)∧(X7∨¬X16)∧(X8∨¬X9)∧(¬X8∨¬X14)∧(X9∨X10)∧(X9∨¬X10)∧(¬X10∨¬X11)∧(X10∨X12)∧(X11∨X12)∧(X13∨X14)∧(X14∨¬X15)∧(X15∨X16) 
Test number,Execution time (ms),Solution,Flips,Tries
1,2.552737236022949,"no satisfying assignment found",1000,5
2,11.283022403717041,"no satisfying assignment found",2000,6
3,12.542707920074463,"no satisfying assignment found",3000,7
4,12.792610168457031,"no satisfying assignment found",4000,8
5,19.18988800048828,"no satisfying assignment found",5000,9
6,21.98870277404785,"no satisfying assignment found",6000,10
7,28.470748901367188,"no satisfying assignment found",7000,11
8,34.216397762298584,"no satisfying assignment found",8000,12
9,42.04667377471924,"no satisfying assignment found",9000,13
10,50.53151798248291,"no satisfying assignment found",10000,14
11,58.865023136138916,"no satisfying assignment found",11000,15
12,70.25076580047607,"no satisfying assignment found",12000,16
13,78.59856700897217,"no satisfying assignment found",13000,17
14,90.48833513259888,"no satisfying assignment found",14000,18
15,102.23275470733643,"no satisfying assignment found",15000,19
16,112.8612551689148,"no satisfying assignment found",16000,20
17,130.00579929351807,"no satisfying assignment found",17000,21
18,144.3022918701172,"no satisfying assignment found",18000,22
19,155.43143129348755,"no satisfying assignment found",19000,23
20,170.06527614593506,"no satisfying assignment found",20000,24
21,191.7650761604309,"no satisfying assignment found",21000,25
22,94.5262279510498,"solution found",16,13
23,227.91086673736572,"no satisfying assignment found",23000,27
24,249.6021499633789,"no satisfying assignment found",24000,28
25,263.9693160057068,"no satisfying assignment found",25000,29
26,280.7926368713379,"no satisfying assignment found",26000,30
27,302.47845792770386,"no satisfying assignment found",27000,31
28,326.05487394332886,"no satisfying assignment found",28000,32
29,347.8603138923645,"no satisfying assignment found",29000,33
30,409.28125,"no satisfying assignment found",30000,34
31,406.279100894928,"no satisfying assignment found",31000,35
32,423.5317769050598,"no satisfying assignment found",32000,36
33,452.50279331207275,"no satisfying assignment found",33000,37
34,472.8139319419861,"no satisfying assignment found",34000,38
35,497.41515827178955,"no satisfying assignment found",35000,39
36,533.9802932739258,"no satisfying assignment found",36000,40
37,370.3764977455139,"solution found",15,28
38,593.6984090805054,"no satisfying assignment found",38000,42
39,497.36500120162964,"solution found",5,36
40,634.6011242866516,"no satisfying assignment found",40000,44
41,673.8271231651306,"no satisfying assignment found",41000,45
42,697.9424328804016,"no satisfying assignment found",42000,46
43,737.5498719215393,"no satisfying assignment found",43000,47
44,758.3187918663025,"no satisfying assignment found",44000,48
45,808.8796062469482,"no satisfying assignment found",45000,49
46,830.1471672058105,"no satisfying assignment found",46000,50
47,884.9192061424255,"no satisfying assignment found",47000,51
48,911.9129033088684,"no satisfying assignment found",48000,52
49,952.1398549079895,"no satisfying assignment found",49000,53
50,983.1799783706665,"no satisfying assignment found",50000,54
51,1031.1638460159302,"no satisfying assignment found",51000,55
52,1058.118170261383,"no satisfying assignment found",52000,56
53,1087.611132144928,"no satisfying assignment found",53000,57
54,1138.8540468215942,"no satisfying assignment found",54000,58
55,1195.3832697868347,"no satisfying assignment found",55000,59
56,642.2161197662354,"solution found",31,33
57,1268.821593284607,"no satisfying assignment found",57000,61
58,1306.0480151176453,"no satisfying assignment found",58000,62
59,1351.9904503822327,"no satisfying assignment found",59000,63
60,1390.745726108551,"no satisfying assignment found",60000,64
61,1460.3496956825256,"no satisfying assignment found",61000,65
62,1481.6310777664185,"no satisfying assignment found",62000,66
63,1536.4568619728088,"no satisfying assignment found",63000,67
64,1575.9271240234375,"no satisfying assignment found",64000,68
65,375.614333152771,"solution found",26,17
66,1675.9976558685303,"no satisfying assignment found",66000,70
67,1720.2228150367737,"no satisfying assignment found",67000,71
68,1823.296025276184,"no satisfying assignment found",68000,72
69,1922.3983092308044,"no satisfying assignment found",69000,73
70,1892.3358063697815,"no satisfying assignment found",70000,74
71,1996.7274270057678,"no satisfying assignment found",71000,75
72,2073.5320739746094,"no satisfying assignment found",72000,76
73,647.5278158187866,"solution found",3,25
74,2168.3923411369324,"no satisfying assignment found",74000,78
75,2202.405827999115,"no satisfying assignment found",75000,79
76,2280.3016471862793,"no satisfying assignment found",76000,80
77,2427.4900617599487,"no satisfying assignment found",77000,81
78,2464.4967617988586,"no satisfying assignment found",78000,82
79,2444.9994497299194,"no satisfying assignment found",79000,83
80,2499.6987733840942,"no satisfying assignment found",80000,84
81,928.7550840377808,"solution found",21,32
82,2627.252848625183,"no satisfying assignment found",82000,86
83,2723.2227849960327,"no satisfying assignment found",83000,87
84,1412.6054019927979,"solution found",20,47
85,2855.7058367729187,"no satisfying assignment found",85000,89
86,2868.8929557800293,"no satisfying assignment found",86000,90
87,895.469476222992,"solution found",24,29
88,2990.9712710380554,"no satisfying assignment found",88000,92
89,3086.1996960639954,"no satisfying assignment found",89000,93
90,3109.811005115509,"no satisfying assignment found",90000,94
